strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/England/20126012302/2020	betacoronavirus	EPI_ISL_418755	?	2020-03-17	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29851	Human	76	Male	?	B.40	V	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon	https://www.gisaid.org/	?	?	2020-03-30	?
hCoV-19/England/20118066603/2020	betacoronavirus	EPI_ISL_420462	?	2020-03-12	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29801	Human	78	Female	?	B.40	V	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon	https://www.gisaid.org/	?	?	2020-04-06	?
hCoV-19/England/20124022802/2020	betacoronavirus	EPI_ISL_418705	?	2020-03-17	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29834	Human	90	Male	?	B.40	V	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon	https://www.gisaid.org/	?	?	2020-03-30	?
hCoV-19/USA/WA-UW368/2020	betacoronavirus	EPI_ISL_418935	?	2020-03-16	North America	USA	Washington		North America	USA	Washington	genome	29828	Human	unknown	unknown	?	A.1	S	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger	https://www.gisaid.org/	?	?	2020-03-31	?
hCoV-19/HongKong/HKPU39-3001/2020	betacoronavirus	EPI_ISL_419214	?	2020-02-10	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	63	Female	?	B.43	O	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong YIP, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun QUE, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU	https://www.gisaid.org/	?	?	2020-04-01	?
hCoV-19/Portugal/IGC00009/2020	betacoronavirus	EPI_ISL_419386	?	2020-03-18	Europe	Portugal	Lisbon		Europe	Portugal	Lisbon	genome	29798	Human	unknown	unknown	?	B.40	V	Hospital Prof. Doutor Fernando Fonseca, EPE	Instituto Gulbenkian de Ciência	João Costa, Cathy Paulino, Joao Sobral, Susana Ladeiro, Ricardo Leite	https://www.gisaid.org/	?	?	2020-04-02	?
hCoV-19/USA/WA-CDC-03063125-001/2020	betacoronavirus	EPI_ISL_419555	?	2020-02-27	North America	USA	Washington		North America	USA	Washington	genome	29882	Human	58	Female	?	B.41	V	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao, Jing Zhang, Krista Queen, Anna Uehara, Clinton R. Paden, Yan Li, Haibin Wang, Jasmine Padilla, Justin Lee, Suxiang Tong	https://www.gisaid.org/	?	?	2020-04-02	?
hCoV-19/USA/OR-CDC-03063104-001/2020	betacoronavirus	EPI_ISL_419558	?	2020-02-27	North America	USA	Oregon		North America	USA	Oregon	genome	29882	Human	46	Male	?	B	V	OR State PHL-Virology/Immunology Section	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao, Jing Zhang, Krista Queen, Anna Uehara, Clinton R. Paden, Yan Li, Haibin Wang, Jasmine Padilla, Justin Lee, Suxiang Tong	https://www.gisaid.org/	?	?	2020-04-02	?
hCoV-19/USA/CA-CDC-02993506-001/2020	betacoronavirus	EPI_ISL_406036	?	2020-01-22	North America	USA	California	Orange County	North America	USA	California	genome	29883	Human	54	Male	?	B	O	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	https://www.gisaid.org/	?	?	2020-01-27	?
hCoV-19/Australia/QLD02/2020	betacoronavirus	EPI_ISL_407896	?	2020-01-30	Oceania	Australia	Queensland	Gold Coast	Oceania	Australia	Queensland	genome	29864	Human	42	Female	?	A	S	Pathology Queensland	Public Health Virology Laboratory	Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore.	https://www.gisaid.org/	?	?	2020-02-06	?
hCoV-19/Australia/QLD04/2020	betacoronavirus	EPI_ISL_410718	?	2020-02-05	Oceania	Australia	Queensland	Gold Coast	Oceania	Australia	Queensland	genome	29865	Human	37	Male	?	A	S	Pathology Queensland	Public Health Virology Laboratory	Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore.	https://www.gisaid.org/	?	?	2020-02-18	?
hCoV-19/USA/CA-CDC-03046181-001/2020	betacoronavirus	EPI_ISL_411954	?	2020-02-06	North America	USA	California		North America	USA	California	genome	29882	Human	56	Female	?	A	S	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	https://www.gisaid.org/	?	?	2020-02-22	?
hCoV-19/Guangzhou/IQTC01/2020	betacoronavirus	EPI_ISL_412966	?	2020-02-05	Asia	China	Guangdong	Guangzhou	Asia	China	Guangdong	genome	29891	Human	unknown	unknown	?	B	L	Technology Centre, Guangzhou Customs	Technology Centre, Guangzhou Customs	Shi,Y., Sun,J., Zheng,K., Huang,J. and Zhao,J.	https://www.gisaid.org/	?	?	2020-02-27	?
hCoV-19/Tianmen/HBCDC-HB-07/2020	betacoronavirus	EPI_ISL_412983	?	2020-02-08	Asia	China	Hubei	Tianmen	Asia	China	Hubei	genome	29697	Human	unknown	unknown	?	A	S	Tianmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, YiFa Zhu, Yangyang Tao,Xierong Li,Yongzhong Jiang.	https://www.gisaid.org/	?	?	2020-03-02	?
hCoV-19/USA/Cruise-CDC-03053369-001/2020	betacoronavirus	EPI_ISL_413607	?	2020-02-18	North America	USA			North America	USA		genome	29882	Human	unknown	unknown	?	B	O	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong	https://www.gisaid.org/	?	?	2020-03-08	?
hCoV-19/USA/Cruise-CDC-3054886-001/2020		EPI_ISL_414480	?	2020-02-21	North America	USA			North America	USA		genome	29882	Human	unknown	unknown	?	B	O	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao, Krista Queen, Clinton R. Paden, Anna Uehara, Jing Zhang, Yan Li, Mary S. Keckler, Alison S. Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong	https://www.gisaid.org/	?	?	2020-03-12	?
hCoV-19/USA/Cruise-CDC-3053685-001/2020		EPI_ISL_414482	?	2020-02-18	North America	USA			North America	USA		genome	29882	Human	unknown	unknown	?	B	O	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Anna Uehara, Ying Tao, Clinton R. Paden, Jing Zhang, Yan Li, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong	https://www.gisaid.org/	?	?	2020-03-12	?
hCoV-19/England/20100023206/2020	betacoronavirus	EPI_ISL_415137	?	2020-03-02	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29804	Human	40	Male	?	B.4	O	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon	https://www.gisaid.org/	?	?	2020-03-16	?
hCoV-19/Wales/PHW35/2020	betacoronavirus	EPI_ISL_416024	?	2020-03-11	Europe	United Kingdom	Wales		Europe	United Kingdom	Wales	genome	29782	Human	78	Male	?	B.23	L	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore, Joanne Watkins, Sally Corden, Tom Connor	https://www.gisaid.org/	?	?	2020-03-19	?
hCoV-19/France/HDF-2237/2020	betacoronavirus	EPI_ISL_416496	?	2020-03-10	Europe	France	Hauts-de-France	Compiègne	Europe	France	Hauts-de-France	genome	29843	Human	45	Male	?	B.1	GH	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Raulin Olivia	https://www.gisaid.org/	?	?	2020-03-22	?
hCoV-19/England/20102115303/2020	betacoronavirus	EPI_ISL_417219	?	2020-03-01	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29852	Human	50	Male	?	B	V	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon	https://www.gisaid.org/	?	?	2020-03-25	?
hCoV-19/Australia/NSW45/2020	betacoronavirus	EPI_ISL_417401	?	2020-03-13	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29409	Human	47	Female	?	B.6	O	Centre for Infectious Diseases and Microbiology Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S, Lam C, Gray K, Timms V, Gall M, Arnott A, Sadsad R, Carter I, Rahman H, Holmes EC, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J, Dwyer DE and Rockett R for the 2019-nCoV Study Group	https://www.gisaid.org/	?	?	2020-03-25	?
