EPI_ISL_501619;1209,1237;
EPI_ISL_439515;437,440;435,437;
EPI_ISL_565658;799,1307;1305,799;
EPI_ISL_439518;437,440;435,437;
EPI_ISL_439519;457,570;568,457;437,440;435,437;
EPI_ISL_565662;799,1307;1305,799;
EPI_ISL_439520;437,440;435,437;
EPI_ISL_439522;437,440;435,437;
EPI_ISL_622704;1988,1848;1848,1860;
EPI_ISL_565667;865,1405;697,865;
EPI_ISL_439527;435,437;1599,1602;437,440;1615,1599;
EPI_ISL_501632;437,440;435,437;
EPI_ISL_501634;1988,1848;1848,1860;
EPI_ISL_439535;437,440;435,437;
EPI_ISL_439541;437,440;435,437;
EPI_ISL_501894;873,632;1390,873;967,1387;632,874;875,876;874,875;876,706;1385,967;877,1398;706,877;
EPI_ISL_501895;1869,1892;1892,2074;
EPI_ISL_439545;437,440;435,437;
EPI_ISL_439546;437,440;435,437;
EPI_ISL_622718;1988,1848;1848,1860;
EPI_ISL_439548;437,440;435,437;
EPI_ISL_502875;450,454;449,450;
EPI_ISL_439551;1640,1643;1643,1646;
EPI_ISL_503958;1916,2060;2058,1916;
EPI_ISL_439553;437,440;435,437;
EPI_ISL_504137;1548,1515;1515,1550;
EPI_ISL_439556;437,440;435,437;
EPI_ISL_504177;50,169;167,50;
EPI_ISL_504180;1150,966;966,1152;
EPI_ISL_439560;2086,1925;1925,2087;
EPI_ISL_622727;144,75;75,146;
EPI_ISL_565694;947,661;661,1186;
EPI_ISL_622728;144,75;75,146;
EPI_ISL_504182;963,1233;1375,855;855,1377;1231,963;
EPI_ISL_565695;1852,2049;1757,1758;2047,1852;1758,1762;
EPI_ISL_622729;1999,1845;1845,1961;
EPI_ISL_504184;345,358;356,345;
EPI_ISL_622733;317,247;247,319;
EPI_ISL_622737;241,298;216,241;
EPI_ISL_622739;2090,1865;360,327;327,362;1865,1866;
EPI_ISL_565707;1852,2049;1757,1758;2047,1852;1758,1762;
EPI_ISL_622742;241,298;216,241;
EPI_ISL_622743;241,298;216,241;
EPI_ISL_439583;1988,1848;1848,1860;
EPI_ISL_439587;457,570;568,457;437,440;435,437;
EPI_ISL_622748;133,53;53,135;
EPI_ISL_439591;285,213;213,287;
EPI_ISL_622752;162,85;85,164;
EPI_ISL_504212;1153,1052;1052,1155;
EPI_ISL_439596;437,440;435,437;
EPI_ISL_439597;437,440;435,437;
EPI_ISL_622756;1988,1848;1848,1860;
EPI_ISL_622757;241,298;216,241;
EPI_ISL_622758;162,85;85,164;
EPI_ISL_622759;1988,1848;1848,1860;
EPI_ISL_439605;437,440;435,437;
EPI_ISL_622761;860,697;930,860;
EPI_ISL_622762;1533,1539;1504,1533;
EPI_ISL_622763;1547,1522;1522,1549;
EPI_ISL_622764;1547,1522;1522,1549;
EPI_ISL_622765;1988,1848;2005,2065;2063,2005;1848,1860;
EPI_ISL_622766;1629,1634;1628,1629;
EPI_ISL_622767;311,269;269,313;
EPI_ISL_622773;428,422;857,1254;422,430;1252,857;
EPI_ISL_439621;437,440;435,437;
EPI_ISL_622774;1442,1446;1440,1442;
EPI_ISL_565743;2055,1893;1893,2057;
EPI_ISL_439623;437,440;435,437;
EPI_ISL_565745;1550,1523;1523,1552;
EPI_ISL_622777;1565,1567;1567,1569;
EPI_ISL_622779;1894,1963;1156,889;889,1069;2073,1894;
EPI_ISL_439631;437,440;435,437;
EPI_ISL_439632;437,440;435,437;
EPI_ISL_506947;437,440;435,437;
EPI_ISL_439633;437,440;435,437;
EPI_ISL_622783;285,213;213,287;
EPI_ISL_506948;437,440;435,437;
EPI_ISL_506949;437,440;435,437;
EPI_ISL_439635;437,440;435,437;
EPI_ISL_506950;437,440;435,437;
EPI_ISL_439636;437,440;435,437;
EPI_ISL_506951;437,440;435,437;
EPI_ISL_506952;437,440;435,437;
EPI_ISL_439638;437,440;435,437;
EPI_ISL_506953;437,440;435,437;
EPI_ISL_622787;1726,1732;1708,1726;
EPI_ISL_506954;437,440;435,437;
EPI_ISL_622788;1548,1515;2078,2082;1515,1550;
EPI_ISL_506955;437,440;435,437;
EPI_ISL_506956;437,440;435,437;
EPI_ISL_622790;1548,1515;1515,1550;
EPI_ISL_439643;437,440;435,437;
EPI_ISL_439644;437,440;435,437;
EPI_ISL_439645;437,440;435,437;
EPI_ISL_622794;1548,1515;1515,1550;
EPI_ISL_439649;437,440;435,437;
EPI_ISL_439652;437,440;435,437;
EPI_ISL_506965;1229,795;795,1231;
